sample_name,run,biosample,bioproject,condition,covariate1,covariate2
2C_H_short,2C_H,biosampletime24,HEP_G2_short,PS_10uM,24,
2E_H_short,2E_H,biosampletime24,HEP_G2_short,PS_10uM,24,
3A_H_short,3A_H,biosampletime24,HEP_G2_short,PS_100uM,24,
3C_H_short,3C_H,biosampletime24,HEP_G2_short,PS_100uM,24,
3E_H_short,3E_H,biosampletime24,HEP_G2_short,PS_100uM,24,
4A_H_short,4A_H,biosampletime48,HEP_G2_short,control,48,
4C_H_short,4C_H,biosampletime48,HEP_G2_short,control,48,
4E_H_short,4E_H,biosampletime48,HEP_G2_short,control,48,
5A_H_short,5A_H,biosampletime48,HEP_G2_short,PS_10uM,48,
5C_H_short,5C_H,biosampletime48,HEP_G2_short,PS_10uM,48,
5E_H_short,5E_H,biosampletime48,HEP_G2_short,PS_10uM,48,
6A_H_short,6A_H,biosampletime48,HEP_G2_short,PS_100uM,48,
6C_H_short,6C_H,biosampletime48,HEP_G2_short,PS_100uM,48,
6E_H_short,6E_H,biosampletime48,HEP_G2_short,PS_100uM,48,
7A_H_short,7A_H,biosampletime72,HEP_G2_short,control,72,
7C_H_short,7C_H,biosampletime72,HEP_G2_short,control,72,
7E_H_short,7E_H,biosampletime72,HEP_G2_short,control,72,
8A_H_short,8A_H,biosampletime72,HEP_G2_short,PS_10uM,72,
8C_H_short,8C_H,biosampletime72,HEP_G2_short,PS_10uM,72,
8E_H_short,8E_H,biosampletime72,HEP_G2_short,PS_10uM,72,
9A_H_short,9A_H,biosampletime72,HEP_G2_short,PS_100uM,72,
9C_H_short,9C_H,biosampletime72,HEP_G2_short,PS_100uM,72,
9E_H_short,9E_H,biosampletime72,HEP_G2_short,PS_100uM,72,
