library_id	biospecimen_id	project	input_1	input_2	assay_hint	condition	treatment	dose	dose_unit	time_h	replicate	cell_line	old_sample_name	old_run	old_biosample	old_bioproject
BEAS_2B_4E_smallrna	BEAS_2B_4E	BEAS_2B	../phdpipe/samples/BEAS_2B_short/4E/4E_short.fq.gz		smallrna	control	control	0	uM	48	E	BEAS_2B	4E_short	4E	biosampletime48	BEAS_2B_short
BEAS_2B_5A_smallrna	BEAS_2B_5A	BEAS_2B	../phdpipe/samples/BEAS_2B_short/5A/5A_short.fq.gz		smallrna	PS_10uM	PS	10	uM	48	A	BEAS_2B	5A_short	5A	biosampletime48	BEAS_2B_short
BEAS_2B_5C_smallrna	BEAS_2B_5C	BEAS_2B	../phdpipe/samples/BEAS_2B_short/5C/5C_short.fq.gz		smallrna	PS_10uM	PS	10	uM	48	C	BEAS_2B	5C_short	5C	biosampletime48	BEAS_2B_short
BEAS_2B_5E_smallrna	BEAS_2B_5E	BEAS_2B	../phdpipe/samples/BEAS_2B_short/5E/5E_short.fq.gz		smallrna	PS_10uM	PS	10	uM	48	E	BEAS_2B	5E_short	5E	biosampletime48	BEAS_2B_short
BEAS_2B_6A_smallrna	BEAS_2B_6A	BEAS_2B	../phdpipe/samples/BEAS_2B_short/6A/6A_short.fq.gz		smallrna	PS_100uM	PS	100	uM	48	A	BEAS_2B	6A_short	6A	biosampletime48	BEAS_2B_short
BEAS_2B_6C_smallrna	BEAS_2B_6C	BEAS_2B	../phdpipe/samples/BEAS_2B_short/6C/6C_short.fq.gz		smallrna	PS_100uM	PS	100	uM	48	C	BEAS_2B	6C_short	6C	biosampletime48	BEAS_2B_short
BEAS_2B_6E_smallrna	BEAS_2B_6E	BEAS_2B	../phdpipe/samples/BEAS_2B_short/6E/6E_short.fq.gz		smallrna	PS_100uM	PS	100	uM	48	E	BEAS_2B	6E_short	6E	biosampletime48	BEAS_2B_short
BEAS_2B_7A_smallrna	BEAS_2B_7A	BEAS_2B	../phdpipe/samples/BEAS_2B_short/7A/7A_short.fq.gz		smallrna	control	control	0	uM	72	A	BEAS_2B	7A_short	7A	biosampletime72	BEAS_2B_short
BEAS_2B_7C_smallrna	BEAS_2B_7C	BEAS_2B	../phdpipe/samples/BEAS_2B_short/7C/7C_short.fq.gz		smallrna	control	control	0	uM	72	C	BEAS_2B	7C_short	7C	biosampletime72	BEAS_2B_short
BEAS_2B_7E_smallrna	BEAS_2B_7E	BEAS_2B	../phdpipe/samples/BEAS_2B_short/7E/7E_short.fq.gz		smallrna	control	control	0	uM	72	E	BEAS_2B	7E_short	7E	biosampletime72	BEAS_2B_short
BEAS_2B_8A_smallrna	BEAS_2B_8A	BEAS_2B	../phdpipe/samples/BEAS_2B_short/8A/8A_short.fq.gz		smallrna	PS_10uM	PS	10	uM	72	A	BEAS_2B	8A_short	8A	biosampletime72	BEAS_2B_short
BEAS_2B_8C_smallrna	BEAS_2B_8C	BEAS_2B	../phdpipe/samples/BEAS_2B_short/8C/8C_short.fq.gz		smallrna	PS_10uM	PS	10	uM	72	C	BEAS_2B	8C_short	8C	biosampletime72	BEAS_2B_short
